ID,filename.x,TYPE,BOX_AND_CODE,STATE,fullest_code,type_branch,rep,cluster,Region,zip_code
Vicky2.a12.282.B6A.mzXML.Peak.area,Vicky2-a12-282-B6A.mzXML,isolate,282-B6,UT,Vicky2-a12-282-B6A,branch_w,a,clu6_2,Southwest,84337
Vicky2.a12.282.B6B.mzXML.Peak.area,Vicky2-a12-282-B6B.mzXML,isolate,282-B6,UT,Vicky2-a12-282-B6B,branch_w,b,clu6_2,Southwest,84337
Vicky2.b1.158.H6A.mzXML.Peak.area,Vicky2-b1-158-H6A.mzXML,isolate,158-H6,NV,Vicky2-b1-158-H6A,branch_w,a,clu6_2,West,89403
Vicky2.b1.158.H6B.mzXML.Peak.area,Vicky2-b1-158-H6B.mzXML,isolate,158-H6,NV,Vicky2-b1-158-H6B,branch_w,b,clu6_2,West,89403
Vicky2.b2.170.F4A.mzXML.Peak.area,Vicky2-b2-170-F4A.mzXML,isolate,170-F4,UT,Vicky2-b2-170-F4A,branch_w,a,clu6_2,Southwest,84758
Vicky2.b2.170.F4B.mzXML.Peak.area,Vicky2-b2-170-F4B.mzXML,isolate,170-F4,UT,Vicky2-b2-170-F4B,branch_w,b,clu6_2,Southwest,84758
Vicky2.b7.423.F5A.mzXML.Peak.area,Vicky2-b7-423-F5A.mzXML,isolate,423-F5,NV,Vicky2-b7-423-F5A,branch_w,a,clu6_2,West,89501
Vicky2.b7.423.F5B.mzXML.Peak.area,Vicky2-b7-423-F5B.mzXML,isolate,423-F5,NV,Vicky2-b7-423-F5B,branch_w,b,clu6_2,West,89501
Vicky2.e5.355.B5A.mzXML.Peak.area,Vicky2-e5-355-B5A.mzXML,isolate,355-B5,UT,Vicky2-e5-355-B5A,branch_w,a,clu6_2,Southwest,84321
Vicky2.e5.355.B5B.mzXML.Peak.area,Vicky2-e5-355-B5B.mzXML,isolate,355-B5,UT,Vicky2-e5-355-B5B,branch_w,b,clu6_2,Southwest,84321
Vicky2.g4.260.D9A.mzXML.Peak.area,Vicky2-g4-260-D9A.mzXML,isolate,260-D9,CA,Vicky2-g4-260-D9A,branch_w,a,clu6_2,West,92624
Vicky2.g4.260.D9B.mzXML.Peak.area,Vicky2-g4-260-D9B.mzXML,isolate,260-D9,CA,Vicky2-g4-260-D9B,branch_w,b,clu6_2,West,92624
Vicky2.h4.366.D1A.mzXML.Peak.area,Vicky2-h4-366-D1A.mzXML,isolate,366-D1,MT,Vicky2-h4-366-D1A,branch_w,b,clu6_2,West North Central,59054
Vicky2.h4.366.D1B.mzXML.Peak.area,Vicky2-h4-366-D1B.mzXML,isolate,366-D1,MT,Vicky2-h4-366-D1B,branch_w,a,clu6_2,West North Central,59054
Vicky3.a11.139.F2A.mzXML.Peak.area,Vicky3-a11-139-F2A.mzXML,isolate,139-F2,NM,Vicky3-a11-139-F2A,branch_w,a,clu6_2,Southwest,87105
Vicky3.a11.139.F2B.mzXML.Peak.area,Vicky3-a11-139-F2B.mzXML,isolate,139-F2,NM,Vicky3-a11-139-F2B,branch_w,b,clu6_2,Southwest,87105
Vicky3.b1.166.H2A.mzXML.Peak.area,Vicky3-b1-166-H2A.mzXML,isolate,166-H2,CA,Vicky3-b1-166-H2A,branch_w,a,clu6_2,West,94568
Vicky3.b1.166.H2B.mzXML.Peak.area,Vicky3-b1-166-H2B.mzXML,isolate,166-H2,CA,Vicky3-b1-166-H2B,branch_w,b,clu6_2,West,94568
Vicky3.b2.164.D9A.mzXML.Peak.area,Vicky3-b2-164-D9A.mzXML,isolate,164-D9,UT,Vicky3-b2-164-D9A,branch_w,a,clu6_2,Southwest,84758
Vicky3.b2.164.D9B.mzXML.Peak.area,Vicky3-b2-164-D9B.mzXML,isolate,164-D9,UT,Vicky3-b2-164-D9B,branch_w,b,clu6_2,Southwest,84758
Vicky3.b3.168.E2A.mzXML.Peak.area,Vicky3-b3-168-E2A.mzXML,isolate,168-E2,CA,Vicky3-b3-168-E2A,branch_w,a,clu6_2,West,95673
Vicky3.b3.168.E2B.mzXML.Peak.area,Vicky3-b3-168-E2B.mzXML,isolate,168-E2,CA,Vicky3-b3-168-E2B,branch_w,b,clu6_2,West,95673
Vicky3.b7.169.E9A.mzXML.Peak.area,Vicky3-b7-169-E9A.mzXML,isolate,169-E9,UT,Vicky3-b7-169-E9A,branch_w,a,clu6_2,Southwest,84758
Vicky3.b7.169.E9B.mzXML.Peak.area,Vicky3-b7-169-E9B.mzXML,isolate,169-E9,UT,Vicky3-b7-169-E9B,branch_w,b,clu6_2,Southwest,84758
Vicky1.c10.151.A8A.mzXML.Peak.area,Vicky1-c10-151-A8A.mzXML,isolate,151-A8,CA,Vicky1-c10-151-A8A,branch_v,a,clu6_2,West,91746
Vicky1.c10.151.A8B.mzXML.Peak.area,Vicky1-c10-151-A8B.mzXML,isolate,151-A8,CA,Vicky1-c10-151-A8B,branch_v,b,clu6_2,West,91746
Vicky1.h1.386.F2A.mzXML.Peak.area,Vicky1-h1-386-F2A.mzXML,isolate,386-F2,UT,Vicky1-h1-386-F2A,branch_v,a,clu6_4,Southwest,84328
Vicky1.h1.386.F2B.mzXML.Peak.area,Vicky1-h1-386-F2B.mzXML,isolate,386-F2,UT,Vicky1-h1-386-F2B,branch_v,b,clu6_4,Southwest,84328
Vicky2.a1.269.B2A.mzXML.Peak.area,Vicky2-a1-269-B2A.mzXML,isolate,269-B2,WY,Vicky2-a1-269-B2A,branch_v,a,clu6_5,West North Central,82434
Vicky2.a1.269.B2B.mzXML.Peak.area,Vicky2-a1-269-B2B.mzXML,isolate,269-B2,WY,Vicky2-a1-269-B2B,branch_v,b,clu6_5,West North Central,82434
Vicky2.c12.239.H3A.mzXML.Peak.area,Vicky2-c12-239-H3A.mzXML,isolate,239-H3,WA,Vicky2-c12-239-H3A,branch_v,a,clu6_5,Northwest,99353
Vicky2.c12.239.H3B.mzXML.Peak.area,Vicky2-c12-239-H3B.mzXML,isolate,239-H3,WA,Vicky2-c12-239-H3B,branch_v,b,clu6_5,Northwest,99353
Vicky2.d10.382.E6A.mzXML.Peak.area,Vicky2-d10-382-E6A.mzXML,isolate,382-E6,CA,Vicky2-d10-382-E6A,branch_v,a,clu6_5,West,91768
Vicky2.d10.382.E6B.mzXML.Peak.area,Vicky2-d10-382-E6B.mzXML,isolate,382-E6,CA,Vicky2-d10-382-E6B,branch_v,b,clu6_5,West,91768
Vicky2.d11.166.G4A.mzXML.Peak.area,Vicky2-d11-166-G4A.mzXML,isolate,166-G4,UT,Vicky2-d11-166-G4A,branch_v,a,clu6_2,Southwest,84058
Vicky2.d11.166.G4B.mzXML.Peak.area,Vicky2-d11-166-G4B.mzXML,isolate,166-G4,UT,Vicky2-d11-166-G4B,branch_v,b,clu6_2,Southwest,84058
Vicky2.d7.335.F9A.mzXML.Peak.area,Vicky2-d7-335-F9A.mzXML,isolate,335-F9,NY,Vicky2-d7-335-F9A,branch_v,a,clu6_4,Northeast,10709
Vicky2.d7.335.F9B.mzXML.Peak.area,Vicky2-d7-335-F9B.mzXML,isolate,335-F9,NY,Vicky2-d7-335-F9B,branch_v,b,clu6_4,Northeast,10709
Vicky2.d8.339.F8A.mzXML.Peak.area,Vicky2-d8-339-F8A.mzXML,isolate,339-F8,OR,Vicky2-d8-339-F8A,branch_v,a,clu6_4,Northwest,97216
Vicky2.d8.339.F8B.mzXML.Peak.area,Vicky2-d8-339-F8B.mzXML,isolate,339-F8,OR,Vicky2-d8-339-F8B,branch_v,b,clu6_4,Northwest,97216
Vicky2.d9.386.G8A.mzXML.Peak.area,Vicky2-d9-386-G8A.mzXML,isolate,386-G8,CA,Vicky2-d9-386-G8A,branch_v,a,clu6_4,West,92675
Vicky2.d9.386.G8B.mzXML.Peak.area,Vicky2-d9-386-G8B.mzXML,isolate,386-G8,CA,Vicky2-d9-386-G8B,branch_v,b,clu6_4,West,92675
Vicky2.e1.295.C11A.mzXML.Peak.area,Vicky2-e1-295-C11A.mzXML,isolate,295-C11,ID,Vicky2-e1-295-C11A,branch_v,a,clu6_4,Northwest,83301
Vicky2.e1.295.C11B.mzXML.Peak.area,Vicky2-e1-295-C11B.mzXML,isolate,295-C11,ID,Vicky2-e1-295-C11B,branch_v,b,clu6_4,Northwest,83301
Vicky2.e10.382.E5A.mzXML.Peak.area,Vicky2-e10-382-E5A.mzXML,isolate,382-E5,CA,Vicky2-e10-382-E5A,branch_v,a,clu6_5,West,91768
Vicky2.e10.382.E5B.mzXML.Peak.area,Vicky2-e10-382-E5B.mzXML,isolate,382-E5,CA,Vicky2-e10-382-E5B,branch_v,b,clu6_5,West,91768
Vicky2.e11.365.C8A.mzXML.Peak.area,Vicky2-e11-365-C8A.mzXML,isolate,365-C8,MO,Vicky2-e11-365-C8A,branch_v,a,clu6_4,Central,64015
Vicky2.e11.365.C8B.mzXML.Peak.area,Vicky2-e11-365-C8B.mzXML,isolate,365-C8,MO,Vicky2-e11-365-C8B,branch_v,b,clu6_4,Central,64015
Vicky2.e12.411.C10A.mzXML.Peak.area,Vicky2-e12-411-C10A.mzXML,isolate,411-C10,NV,Vicky2-e12-411-C10A,branch_v,a,clu6_5,West,89119
Vicky2.e12.411.C10B.mzXML.Peak.area,Vicky2-e12-411-C10B.mzXML,isolate,411-C10,NV,Vicky2-e12-411-C10B,branch_v,b,clu6_5,West,89119
Vicky2.e2.178.D1A.mzXML.Peak.area,Vicky2-e2-178-D1A.mzXML,isolate,178-D1,CA,Vicky2-e2-178-D1A,branch_v,a,clu6_4,West,93933
Vicky2.e2.178.D1B.mzXML.Peak.area,Vicky2-e2-178-D1B.mzXML,isolate,178-D1,CA,Vicky2-e2-178-D1B,branch_v,b,clu6_4,West,93933
Vicky2.e3.253.D6A.mzXML.Peak.area,Vicky2-e3-253-D6A.mzXML,isolate,253-D6,CA,Vicky2-e3-253-D6A,branch_v,a,clu6_4,West,92624
Vicky2.e3.253.D6B.mzXML.Peak.area,Vicky2-e3-253-D6B.mzXML,isolate,253-D6,CA,Vicky2-e3-253-D6B,branch_v,b,clu6_4,West,92624
Vicky2.e4.308.A12A.mzXML.Peak.area,Vicky2-e4-308-A12A.mzXML,isolate,308-A12,CO,Vicky2-e4-308-A12A,branch_v,a,clu6_4,Southwest,80401
Vicky2.e4.308.A12B.mzXML.Peak.area,Vicky2-e4-308-A12B.mzXML,isolate,308-A12,CO,Vicky2-e4-308-A12B,branch_v,b,clu6_4,Southwest,80401
Vicky2.e8.439.C7A.mzXML.Peak.area,Vicky2-e8-439-C7A.mzXML,isolate,439-C7,NV,Vicky2-e8-439-C7A,branch_v,a,clu6_5,West,89129
Vicky2.e8.439.C7B.mzXML.Peak.area,Vicky2-e8-439-C7B.mzXML,isolate,439-C7,NV,Vicky2-e8-439-C7B,branch_v,b,clu6_5,West,89129
Vicky2.e9.355.B6A.mzXML.Peak.area,Vicky2-e9-355-B6A.mzXML,isolate,355-B6,UT,Vicky2-e9-355-B6A,branch_v,a,clu6_4,Southwest,84321
